,2-39-78-362,2-39-95-27,2-39-79-380,2-39-79-379,2-39-79-381,2-39-139-28,2-39-91-441,2-39-79-377,2-39-79-382,2-39-78-366,2-39-91-437,2-39-78-361,2-39-78-360,2-39-125-21,2-39-78-365,2-39-127-19,2-39-79-383,2-39-89-25,2-39-95-444,2-39-124-22,2-39-89-439,2-39-92-442,2-39-123-23,2-39-90-440,2-39-78-364,2-39-88-24,2-39-90-26,2-39-88-438,2-39-78-363,2-39-79-378,2-39-123-557,2-39-78-367,2-39-79-376,2-39-138-29,2-39-128-18,2-39-125-559,2-39-126-20,2-39-131-30,2-39-130-31,2-39-92-436,2-39-138-566,2-39-130-564,2-39-129-17,2-39-139-567,2-39-127-561,2-39-124-558,2-39-129-563,2-39-131-565,2-39-83-386,2-39-128-562,2-39-126-560,2-39-83-387,2-39-82-384,2-39-82-385
2018-04-25 11:00:00,3.0949301277235164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 12:00:00,3.575657400450789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 13:00:00,1.2614124718256952,0.8293690088413216,1.130108750632271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 14:00:00,0.0,3.354751046998604,4.126891249367728,1.343126510574018,1.0928819933308633,1.3513032758013384,0.8550736363636364,0.10002044215626893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 15:00:00,0.5885685087055261,3.354751046998604,0.0,3.519108761329305,3.3742497221193037,5.015146178231771,4.17109090909091,3.7902483343428224,1.871773364485981,1.6023147063744354,2.3186433070866146,1.4096578092142995,2.151800356506239,0.7787868905918799,0.7959526390870186,0.7802628354368337,0.32998700736249464,0.5018939852353868,0.30832638427831627,0.17603894940024817,0.10402298982042778,0.038789533047597566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 16:00:00,0.7385314155942467,2.4741288971614703,0.0,0.3147647280966767,3.3742497221193037,1.5435505459668895,4.17109090909091,3.0627312235009083,0.3022266355140186,2.0945290279404385,0.930356692913386,1.3103421907857007,0.4231996434937612,1.58486874286646,1.6875320970042798,1.7834579095699057,1.2940666955391946,2.592278833353504,2.1386801221617313,1.6208189714600854,2.4800183003545695,3.8789533047597566,1.7460670273926278,1.7673281897742974,2.573609107851876,2.599228955184184,1.9599083495145628,3.061612243033349,1.1423451984635082,0.2981493768751442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 17:00:00,0.7385314155942467,0.0,0.0,0.0,2.27761856243053,0.0,4.17109090909091,0.0,0.0,2.0945290279404385,0.0,0.0,0.0,1.58486874286646,1.6875320970042798,1.4792792549932607,0.8659462970983111,2.592278833353504,2.026993493559952,1.6208189714600854,2.4800183003545695,3.8789533047597566,1.7887994589110585,0.4396718102257024,2.670026740134511,2.7840595771089145,2.1194563106796114,5.379113750571037,3.1178489116517287,2.259658435264251,2.0130055452865063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 18:00:00,0.3733686601059803,0.0,0.0,0.0,0.0,0.0,1.9256536363636367,0.0,0.5476657304436937,1.7800517054702711,0.0,0.0,0.0,1.4514756236751998,0.7579831669044224,0.0,0.0,0.26354834805760624,0.0,1.6208189714600854,0.9589404094704335,1.7563038574328897,1.7887994589110585,0.0,2.670026740134511,2.7840595771089145,0.4686353398058252,5.379113750571037,2.503805889884763,2.259658435264251,2.2491682070240295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 19:00:00,1.3419338000491279,0.0,0.0,0.0,0.0,0.0,1.049844167610419,1.1254847908745245,0.865874672638251,2.526691801439664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4925041362194953,0.0,0.0,1.7887994589110585,0.0,1.2393374118791023,2.7840595771089145,0.0,5.379113750571037,0.0,2.259658435264251,0.807826247689464,1.1226493547371734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-25 20:00:00,2.88415622697126,0.0,0.0,0.0,0.0,0.0,3.1547904869762173,3.6901140684410643,0.865874672638251,2.7459965928449743,0.0,0.0,0.0,0.6902420351878269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7887994589110585,0.0,0.0,2.7840595771089145,0.0,5.379113750571037,0.0,2.259658435264251,0.0,1.0803506452628266,0.9784683675228408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
