Dataset,Elasticity,Avg_Revenue_Gain_Pct,Avg_Peak_Queue_Reduction_Pct,Avg_Off_Peak_Uplift_Pct,Avg_Pricing_Efficiency
ACN-Caltech,0.2,4.7263176623067364,13.996453812468031,2.976120797495582,16.057203075106095
UrbanEV,0.2,-5.144190184465032,37.02528474580405,5.277061802938836,14.062648219472536
ACN-Caltech,0.5,-1.15021980897776,8.909965650931778,5.542462301410076,15.009437922032296
UrbanEV,0.5,-3.617222770409711,53.31774238359236,12.050743506030614,14.078458626411253
ACN-Caltech,0.8,-1.6502595113245413,7.074804662909156,6.7639076752276495,14.886481982673164
UrbanEV,0.8,-2.544134406396543,56.7722944620457,19.28118960964898,14.014969706006916
